coin,avg_return,volatility,downside_std,avg_volume,avg_marketcap,abs_return,log_volume,log_mc,cluster,pc1,pc2,dbscan_cluster
bitcoin,-0.0055343786264968,0.0233471196652541,0.0164037939828151,73085999707.02791,1940579941563.2456,0.0055343786264968,1.0,28.29400798328108,3,3.3426151316224466,-0.08676609974141923,-1
cardano,-0.0112614444691357,0.0391551379333406,0.0244006877828022,1065983646.959398,18460439459.3605,0.0112614444691357,0.8309911936526954,23.63889587182446,0,1.5413287746529527,1.7311438815028615,-1
chainlink,-0.0073297606354841,0.0408406704798474,0.031322772809193,811304791.6310581,10080314727.377216,0.0073297606354841,0.8200773211531381,23.033850322155494,0,0.5245193316801837,0.7329913088060678,0
cosmos,-0.0049066974365823,0.051917141038417,0.0453620185108353,81289609.19025105,1309556583.8616238,0.0049066974365823,0.7281071214171965,20.99295443202209,1,-1.5240400923659945,0.4064577034016039,-1
dogecoin,-0.0056855056931287,0.0417911536375758,0.0250096632542841,2030097670.623136,24770246231.453087,0.0056855056931287,0.85674327946637,23.93290902115132,0,0.8876175422457061,0.1275580986391511,0
ethereum,-0.0068258441433069,0.0356536978084615,0.0260600315617334,32283356251.18836,392665821991.7108,0.0068258441433069,0.9673360705876404,26.696224761365396,3,2.3207003474926466,0.7953132529988814,-1
fartcoin,0.0045908477145458,0.0992594434539692,0.0646561600269521,126369782.217485,285172181.55045164,0.0045908477145458,0.7457443750898048,19.46860370510804,2,-4.441472402916277,1.5673325246597236,-1
litecoin,-0.0017766369951331,0.0523538685953875,0.0295075010578228,837002267.298364,7105747196.00839,0.0017766369951331,0.8213238970126889,22.684169757921467,1,-0.5391137543160411,-0.8573643336357786,-1
monero,0.0090490367226384,0.0474811221518726,0.0309874994226672,195716055.38373664,6935485567.630477,0.0090490367226384,0.7632320513972771,22.65991690536817,4,-1.0503594225026973,0.35783853820416806,-1
pendle,-0.0013120877352175,0.0612008652130018,0.0440201844980796,58101348.29912532,433862739.8367191,0.0013120877352175,0.7146819512436537,19.888238776689064,1,-2.515483225726275,-0.6613988016262299,-1
polkadot,-0.0060659103032475,0.0573591485135905,0.0326259929732297,287195950.45920587,4373127036.57,0.0060659103032475,0.7785629055169262,22.1987441593943,1,-0.531335315955715,0.5876283999684775,0
ripple,-0.0028422400299711,0.0404768541164909,0.0239035778274542,4952817277.900139,135904001591.93645,0.0028422400299711,0.8923969323289417,25.635214602798317,3,1.1237789382836538,-0.6813933665572485,-1
solana,-0.0088498694916199,0.042063057540891,0.0288589081963547,6139449570.279524,83595752683.91373,0.0088498694916199,0.9009829553382354,25.149258550542054,0,1.6499953860361727,1.4400596035430013,-1
stellar,-0.0048126426090469,0.0378201164332752,0.0219364485050904,214560142.6148739,8606886138.088594,0.0048126426090469,0.7669068676928197,22.875828433653076,1,0.30828469690718546,-0.6248976049986287,0
tezos,-0.0024349593064866,0.0488292217903809,0.0221746491687899,30580100.662800435,589512610.3188009,0.0024349593064866,0.6890236718174745,20.19480667095935,1,-1.2875621947907323,-1.44293549461625,-1
tron,-0.0011403236259554,0.015411860194464,0.0139372089080971,792582119.1133838,27178028812.493813,0.0011403236259554,0.8191439701396052,24.025674719621275,3,1.2254822866016548,-2.3731941197116364,-1
vechain,-0.0033971665038485,0.0475494702096247,0.0249808767283367,34574675.58399815,1288466257.927586,0.0033971665038485,0.6939316260932744,20.97671840139453,1,-1.034956026948868,-1.0183734908367463,-1
