coin,avg_return,volatility,downside_std,avg_volume,avg_marketcap,abs_return,log_volume,log_mc
bitcoin,-0.005534378626496879,0.02334711966525417,0.016403793982815173,73085999707.02791,1940579941563.2456,0.005534378626496879,1.0,28.29400798328108
cardano,-0.011261444469135795,0.039155137933340634,0.024400687782802247,1065983646.9593979,18460439459.3605,0.011261444469135795,0.8309911936526954,23.63889587182446
chainlink,-0.007329760635484102,0.040840670479847414,0.031322772809193024,811304791.6310581,10080314727.377216,0.007329760635484102,0.8200773211531381,23.033850322155498
cosmos,-0.0049066974365823525,0.051917141038417026,0.04536201851083536,81289609.19025105,1309556583.8616238,0.0049066974365823525,0.7281071214171965,20.992954432022092
dogecoin,-0.005685505693128704,0.04179115363757585,0.025009663254284137,2030097670.623136,24770246231.453087,0.005685505693128704,0.85674327946637,23.93290902115132
ethereum,-0.006825844143306955,0.03565369780846152,0.02606003156173347,32283356251.18836,392665821991.7108,0.006825844143306955,0.9673360705876403,26.696224761365393
fartcoin,0.004590847714545843,0.0992594434539692,0.06465616002695211,126369782.21748501,285172181.55045164,0.004590847714545843,0.7457443750898048,19.468603705108038
litecoin,-0.0017766369951331222,0.0523538685953875,0.029507501057822846,837002267.298364,7105747196.00839,0.0017766369951331222,0.8213238970126889,22.684169757921467
monero,0.00904903672263847,0.04748112215187261,0.030987499422667274,195716055.38373664,6935485567.630477,0.00904903672263847,0.7632320513972771,22.659916905368174
pendle,-0.0013120877352175374,0.06120086521300184,0.0440201844980796,58101348.29912532,433862739.8367191,0.0013120877352175374,0.7146819512436537,19.888238776689064
polkadot,-0.006065910303247568,0.057359148513590565,0.03262599297322973,287195950.45920587,4373127036.57,0.006065910303247568,0.7785629055169262,22.1987441593943
ripple,-0.0028422400299711287,0.040476854116490955,0.023903577827454288,4952817277.900139,135904001591.93643,0.0028422400299711287,0.8923969323289417,25.635214602798314
solana,-0.008849869491619932,0.04206305754089109,0.028858908196354758,6139449570.279524,83595752683.91373,0.008849869491619932,0.9009829553382354,25.149258550542058
stellar,-0.004812642609046935,0.037820116433275215,0.0219364485050904,214560142.6148739,8606886138.088594,0.004812642609046935,0.7669068676928197,22.875828433653073
tezos,-0.0024349593064866724,0.04882922179038099,0.02217464916878994,30580100.662800435,589512610.3188009,0.0024349593064866724,0.6890236718174745,20.19480667095935
tron,-0.0011403236259554417,0.015411860194464,0.013937208908097184,792582119.1133838,27178028812.493813,0.0011403236259554417,0.8191439701396052,24.025674719621275
vechain,-0.0033971665038485216,0.04754947020962473,0.02498087672833676,34574675.58399815,1288466257.927586,0.0033971665038485216,0.6939316260932744,20.97671840139453
